id,questionTitle,category,image,subCategory,answerItems
法44条,道路内、道路上空に建築してはならない。ただし、各号を除く。,法規（道路）,,,"[{""label"":""条文"",""value"":""法44条""}]"
法45条,指導の変更・廃止の制限。,法規（道路）,,,"[{""label"":""条文"",""value"":""法45条""}]"
法47条,壁面線による建築制限の内容。どのような制限が課せられるか,法規（道路）,,,"[{""label"":""条文"",""value"":""法47条""}]"
法48条,それぞれの地域で建築してよい建築物の用途の規定。,法規（用途制限）,,,"[{""label"":""条文"",""value"":""法48条""}]"
法51条,都市計画区域内における卸売市場、火葬場、と畜場、汚物処理場、ごみ焼却場の制限と制限を適用しない建築物の規定。,法規（用途制限）,,,"[{""label"":""条文"",""value"":""法51条""}]"
法52条1項,指定容積率の算定方法の規定。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法52条1項""}]"
法52条2項,道路容積率の算定方法規定。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法52条2項""}]"
法52条6項,昇降機、共同住宅の共用廊下等、機械室の容積率の緩和。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法52条6項""}]"
法52条7項,建築物の敷地が2つの区域にまたがる場合の容積率の算定方法。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法52条7項""}]"
法52条9項,容積率のみなし緩和。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法52条9項""}]"
法52条10項,容積率の計画道路による規定。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法52条10項""}]"
法52条11項,容積率の壁面線による規定。道路と壁面線の間の面積は敷地の面積に算入しない。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法52条11項""}]"
法53条1項,建蔽率の地域ごとの指定。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法53条1項""}]"
法53条2項,敷地が2以上の地域にわたる場合の建蔽率の算定方法。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法53条2項""}]"
法53条3項,（準）防火地域、指定角地による建蔽率の緩和。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法53条3項""}]"
法53条6項,建築物の種類による建蔽率の緩和。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法53条6項""}]"
法53条7項,敷地が防火地域の内外にわたる場合の建蔽率の規定。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法53条7項""}]"
法53条8項,敷地が準防火地域の内外にわたる場合の建蔽率の規定。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法53条8項""}]"
法55条,建築物の絶対高さの規定。,法規（高さ制限）,,,"[{""label"":""条文"",""value"":""法55条""}]"
法56条1項一号,道路斜線制限。,法規（高さ制限）,,,"[{""label"":""条文"",""value"":""法56条1項一号""}]"
法56条1項三号,北側斜線制限。,法規（高さ制限）,,,"[{""label"":""条文"",""value"":""法56条1項三号""}]"
法56条1項二号,隣地斜線制限。,法規（高さ制限）,,,"[{""label"":""条文"",""value"":""法56条1項二号""}]"
法56条2項,道路斜線制限の緩和規定①。道路斜線制限のセットバック緩和,法規（高さ制限）,,,"[{""label"":""条文"",""value"":""法56条2項""}]"
法56条3項,道路斜線制限の緩和規定②。,法規（高さ制限）,,,"[{""label"":""条文"",""value"":""法56条3項""}]"
法56条4項,道路斜線制限の緩和規定③。,法規（高さ制限）,,,"[{""label"":""条文"",""value"":""法56条4項""}]"
法56条7項,斜線制限した場合と同等の採光、通風等が確保されている場合、斜線制限を免除するという規定。,法規（高さ制限）,,,"[{""label"":""条文"",""value"":""法56条7項""}]"
法59条,高度利用地区内の建築物の容積率、建蔽率、建築面積の規定。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""法59条""}]"
法61条,（準）防火地域内にある建築物は、火災の延焼を防止するための技術的基準に適合しなければならない。,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""法61条""}]"
法62条,（準）防火地域内にある建築物の屋根の構造は、技術的基準に適合しなければならない。,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""法62条""}]"
法63条,（準）防火地域内の外壁が耐火構造の建築物は隣地境界線に接して設けられる。,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""法63条""}]"
法64条,防火地域内の看板等の構造の基準。,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""法64条""}]"
法65条,建築物が、防火地域、準防火地域、指定のない地域を跨ぐ場合の規定を定める。,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""法65条""}]"
法68条,景観地区による高さ制限の規定。,法規（総合設計、地区計画、建築協定）,,,"[{""label"":""条文"",""value"":""法68条""}]"
法69条,建築協定①。,法規（総合設計、地区計画、建築協定）,,,"[{""label"":""条文"",""value"":""法69条""}]"
法70条,建築協定② 建築協定書の認可の受け方、内容、合意の必要等。,法規（総合設計、地区計画、建築協定）,,,"[{""label"":""条文"",""value"":""法70条""}]"
法71条,建築協定③。,法規（総合設計、地区計画、建築協定）,,,"[{""label"":""条文"",""value"":""法71条""}]"
法72条,建築協定④。,法規（総合設計、地区計画、建築協定）,,,"[{""label"":""条文"",""value"":""法72条""}]"
法73条,建築協定⑤。,法規（総合設計、地区計画、建築協定）,,,"[{""label"":""条文"",""value"":""法73条""}]"
法74条,建築協定。,法規（総合設計、地区計画、建築協定）,,,"[{""label"":""条文"",""value"":""法74条""}]"
法75条,建築協定。,法規（総合設計、地区計画、建築協定）,,,"[{""label"":""条文"",""value"":""法75条""}]"
法76条,建築協定。,法規（総合設計、地区計画、建築協定）,,,"[{""label"":""条文"",""value"":""法76条""}]"
法77条,建築協定。,法規（総合設計、地区計画、建築協定）,,,"[{""label"":""条文"",""value"":""法77条""}]"
法85条2項,仮設建築物に適用されない規定の一覧。,法規（道路）,,,"[{""label"":""条文"",""value"":""法85条2項""}]"
法85条,,法規（確認ほか手続き）,,,"[{""label"":""条文"",""value"":""法85条""}]"
法86条,一団地の総合的設計制度。,法規（総合設計、地区計画、建築協定）,,,"[{""label"":""条文"",""value"":""法86条""}]"
法87条1項,建築物の用途を変更する場合に準用しなければならない法律の規定,法規（確認ほか手続き）,,,"[{""label"":""条文"",""value"":""法87条1項""}]"
法91条,建築物の敷地が2種以上の区域、地域、地区にわたる場合は過半に属する区域、地域、地区の法律に基づく。,法規（null）,,,"[{""label"":""条文"",""value"":""法91条""}]"
法94条,不服申し立ての仕方,法規（罰則）,,,"[{""label"":""条文"",""value"":""法94条""}]"
法98～106条,指定の条文に違反したものに対する罰則の規定。,法規（確認ほか手続き）,,,"[{""label"":""条文"",""value"":""法98～106条""}]"
法28条の2 1項三号,石綿、クロルピリホス、ホルムアルデヒドに係る建築材料、換気設備の技術的基準。,法規（換気）,,,"[{""label"":""条文"",""value"":""法28条の2 1項三号""}]"
法28条の2 1項,石綿その他物質の飛散等の防止のための基準。,法規（内装制限）,,,"[{""label"":""条文"",""value"":""法28条の2 1項""}]"
法35条の2,内装制限の規定。,法規（道路）,,,"[{""label"":""条文"",""value"":""法35条の2""}]"
法41条の2,この章（第8節を除く。）の規定は、都市計画区域及び準都市計画区域内に限り適用する。,法規（null）,,,"[{""label"":""条文"",""value"":""法41条の2""}]"
法41条の2,この章（第3章：法41条の2～法68条の26）（8節を除く）の規定は、都市計画区域及び準都市計画区域内に限り、適用する。,法規（高さ制限）,,,"[{""label"":""条文"",""value"":""法41条の2""}]"
法56条の2,日影による建築物の高さ制限。,法規（総合設計、地区計画、建築協定）,,,"[{""label"":""条文"",""value"":""法56条の2""}]"
法68条の2,地区計画の規定。,法規（総合設計、地区計画、建築協定）,,,"[{""label"":""条文"",""value"":""法68条の2""}]"
法68条の3,再開発等促進区で地区整備計画が定められている地区計画の区域内での、容積率等の制限の緩和。,法規（道路）,,,"[{""label"":""条文"",""value"":""法68条の3""}]"
法68条の7,予定道路は法42条1項の道路とみなす。,法規（構造方法、構造計算）,,,"[{""label"":""条文"",""value"":""法68条の7""}]"
法6条の3,構造計算適合性判定が必要な建築物を規定。,法規（確認ほか手続き）,,,"[{""label"":""条文"",""value"":""法6条の3""}]"
法7条の6 1項,検査済証の交付を受けるまでの建築物の使用制限。その例外。,法規（道路）,,,"[{""label"":""条文"",""value"":""法7条の6 1項""}]"
法85条の2,景観重要建造物に対する制限の緩和。,法規（null）,,,"[{""label"":""条文"",""value"":""法85条の2""}]"
法86条の7,既存不適格の建築物を増築・改修等する際に、法3条3項に定める法3条2項を適用しないという規則を適用しなくてよい増築・改修等の規定。,法規（確認ほか手続き）,,,"[{""label"":""条文"",""value"":""法86条の7""}]"
法90条の3,避難施設等に関する工事の施工中に安全上、防火上又は避難上の措置に関する計画を作成し届け出る義務の規定。,法規（罰則）,,,"[{""label"":""条文"",""value"":""法90条の3""}]"
令1条1項五号,準不燃材料の定義,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""令1条1項五号""}]"
令2条1項八号,階数の定義,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""令2条1項八号""}]"
令2条1項四号,延べ面積の緩和。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""令2条1項四号""}]"
令2条1項六号,建築物の高さの定義。,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""令2条1項六号""}]"
令2条3項,延べ面積の緩和。,法規（面積制限）,,,"[{""label"":""条文"",""value"":""令2条3項""}]"
令16条1項,法12条1項に規定される定期調査をしなければならない政令で定める建築物,法規（確認ほか手続き）,,,"[{""label"":""条文"",""value"":""令16条1項""}]"
令16条2項,法12条1項に規定される定期調査をしなければならない政令で定める建築物,法規（確認ほか手続き）,,,"[{""label"":""条文"",""value"":""令16条2項""}]"
令19条1項,児童福祉施設等の定義,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""令19条1項""}]"
令19条1項,法28条で採光が必要として政令で定める建築物が記載。,法規（採光、天井高、床高、界壁の遮音）,,,"[{""label"":""条文"",""value"":""令19条1項""}]"
令19条2項,法28条で採光が必要として政令で定める建築物の居室が記載。,法規（採光、天井高、床高、界壁の遮音）,,,"[{""label"":""条文"",""value"":""令19条2項""}]"
令19条3項,法28条で必要な採光の面積として、床面積に乗じる割合が記載。,法規（採光、天井高、床高、界壁の遮音）,,,"[{""label"":""条文"",""value"":""令19条3項""}]"
令20条2項,採光補正計数の算定方法の規定。,法規（採光、天井高、床高、界壁の遮音）,,,"[{""label"":""条文"",""value"":""令20条2項""}]"
令21条1項,居室に必要な天井高が記載。,法規（採光、天井高、床高、界壁の遮音）,,,"[{""label"":""条文"",""value"":""令21条1項""}]"
令21条2項,天井高の測定方法が記載。,法規（採光、天井高、床高、界壁の遮音）,,,"[{""label"":""条文"",""value"":""令21条2項""}]"
令23条1項,踏面、蹴上げ等各部の寸法が記載。,法規（階段）,,,"[{""label"":""条文"",""value"":""令23条1項""}]"
令23条2項,回り階段の踏面の寸法の測り方が記載。,法規（階段）,,,"[{""label"":""条文"",""value"":""令23条2項""}]"
令23条3項,手摺があった場合の階段・踊り場の幅の算定方法。,法規（階段）,,,"[{""label"":""条文"",""value"":""令23条3項""}]"
令24条,踊り場の位置及び踏面を規定。,法規（階段）,,,"[{""label"":""条文"",""value"":""令24条""}]"
令25条,手摺の設置基準。,法規（階段）,,,"[{""label"":""条文"",""value"":""令25条""}]"
令26条,階段に代わる傾斜の設置基準。,法規（階段）,,,"[{""label"":""条文"",""value"":""令26条""}]"
令28条,便所の採光、換気の基準を記載。,法規（換気）,,,"[{""label"":""条文"",""value"":""令28条""}]"
令28条,便所の採光、換気の基準を記載。,法規（採光、天井高、床高、界壁の遮音）,,,"[{""label"":""条文"",""value"":""令28条""}]"
令28条,便所の採光、換気の基準を記載。水洗便所の場合は、直接外気に接する窓は不要で換気設備だけでいいらしい。,法規（避雷針、便所、その他設備）,,,"[{""label"":""条文"",""value"":""令28条""}]"
令33条,改良便槽、屎尿浄化設備等の漏水検査を記載。,法規（避雷針、便所、その他設備）,,,"[{""label"":""条文"",""value"":""令33条""}]"
令36条,"法20の分類に従って,令37～令80の3のそれぞれの構造方法の仕様規定を指定。",法規（構造方法、構造計算）,,,"[{""label"":""条文"",""value"":""令36条""}]"
令37条,構造方法に関わらず、基礎、屋根等が満たすべき基準を記載。,法規（構造方法、構造計算）,,,"[{""label"":""条文"",""value"":""令37条""}]"
令81条,"法20の分類に従って,令82～令88の構造計算を指定。",法規（構造方法、構造計算）,,,"[{""label"":""条文"",""value"":""令81条""}]"
令85条,積載荷重の算定方法,法規（構造方法、構造計算）,,,"[{""label"":""条文"",""value"":""令85条""}]"
令88条4項,建築物の地下部分の地震力の算定,法規（構造方法、構造計算）,,,"[{""label"":""条文"",""value"":""令88条4項""}]"
令110条,法27条1項の避難時間内は倒壊、延焼を防止する構造の技術的基準が記載。,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""令110条""}]"
令111条,法35条の3（防火に関する構造の規定）の窓その他の開口部を有しない居室等の規定。,法規（無窓）,,,"[{""label"":""条文"",""value"":""令111条""}]"
令112条1項,特定防火設備の定義,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""令112条1項""}]"
令112条7項,建築物の11階以上の部分の防火区画の規定。,法規（防火区画）,,,"[{""label"":""条文"",""value"":""令112条7項""}]"
令112条11項,地階又は3階以上に居室を有するものの竪穴部分の防火区画の規定。,法規（防火区画）,,,"[{""label"":""条文"",""value"":""令112条11項""}]"
令112条18項,異種用途区画が適用される建築物の規定。,法規（防火区画）,,,"[{""label"":""条文"",""value"":""令112条18項""}]"
令112条19項,防火設備の構造の規定。,法規（防火区画）,,,"[{""label"":""条文"",""value"":""令112条19項""}]"
令112条,防火区画の規定。設けなければならない区画。防火区画の構造等。,法規（防火区画）,,,"[{""label"":""条文"",""value"":""令112条""}]"
令114条1項,長屋又は共同住宅の堺壁の防火に関する構造の規定,法規（防火区画）,,,"[{""label"":""条文"",""value"":""令114条1項""}]"
令115条,別表1のそれぞれの用途に類するもので、政令で定めるものが記載。,法規（歩行距離、2以上の直通階段、避難階段）,,,"[{""label"":""条文"",""value"":""令115条""}]"
令116条,法27条3項二号で政令で定める危険物の量が記載。,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""令116条""}]"
令117条1項,この節（第5章2節：令117条～令126条）の規定を受ける建築物を規定。,法規（廊下、屋外への出口、屋上広場）,,,"[{""label"":""条文"",""value"":""令117条1項""}]"
令119条,廊下の幅の規定,法規（廊下、屋外への出口、屋上広場）,,,"[{""label"":""条文"",""value"":""令119条""}]"
令120条1項,各居室から直通階段への距離の規制。この距離を超えると2以上の直通階段を設ける必要がある。,法規（歩行距離、2以上の直通階段、避難階段）,,,"[{""label"":""条文"",""value"":""令120条1項""}]"
令120条2項,主要構造部が準耐火構造・特定主要構造部が耐火構造の建物の場合の令120条1項の距離の補正値。,法規（廊下、屋外への出口、屋上広場）,,,"[{""label"":""条文"",""value"":""令120条2項""}]"
令120条3項,15回以上の階の居室の令120条1項の距離の補正値。,法規（廊下、屋外への出口、屋上広場）,,,"[{""label"":""条文"",""value"":""令120条3項""}]"
令121条1項二号,物品販売業を営む店舗の定義,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""令121条1項二号""}]"
令121条1項,2以上の直通階段を設けなければならない建築物の規定。,法規（歩行距離、2以上の直通階段、避難階段）,,,"[{""label"":""条文"",""value"":""令121条1項""}]"
令121条2項,準耐火構造、主要構造部が不燃材の時の令121条1項の面積の緩和。,法規（歩行距離、2以上の直通階段、避難階段）,,,"[{""label"":""条文"",""value"":""令121条2項""}]"
令122条1項,直通階段を避難階段、特別避難階段にしなければならない条件。,法規（歩行距離、2以上の直通階段、避難階段）,,,"[{""label"":""条文"",""value"":""令122条1項""}]"
令122条2項,物品販売業を営む店舗の直通階段を避難階段、特別避難階段にしなければならない条件。,法規（歩行距離、2以上の直通階段、避難階段）,,,"[{""label"":""条文"",""value"":""令122条2項""}]"
令123条1項,屋内に設ける避難階段の構造の規定,法規（歩行距離、2以上の直通階段、避難階段）,,,"[{""label"":""条文"",""value"":""令123条1項""}]"
令123条2項,屋外に設ける避難階段の構造の規定,法規（歩行距離、2以上の直通階段、避難階段）,,,"[{""label"":""条文"",""value"":""令123条2項""}]"
令123条3項,特別避難階段の構造の規定,法規（歩行距離、2以上の直通階段、避難階段）,,,"[{""label"":""条文"",""value"":""令123条3項""}]"
令125条1項,避難階での、階段から屋外への距離、居室から屋外への距離の規制,法規（廊下、屋外への出口、屋上広場）,,,"[{""label"":""条文"",""value"":""令125条1項""}]"
令125条3項,物品販売業を営む店舗の避難階の屋外への出入口の幅の規制,法規（廊下、屋外への出口、屋上広場）,,,"[{""label"":""条文"",""value"":""令125条3項""}]"
令126条1項,屋上広場、バルコニーの落下防止の手摺の設置が必要な建築物の規定とその構造の規定。,法規（廊下、屋外への出口、屋上広場）,,,"[{""label"":""条文"",""value"":""令126条1項""}]"
令126条2項,百貨店に設ける避難の用に供することができる屋上広場の規定,法規（廊下、屋外への出口、屋上広場）,,,"[{""label"":""条文"",""value"":""令126条2項""}]"
令127条,この節（第5章6節：令127条～令128条の3）の規定を受ける建築物を規定。,法規（null）,,,"[{""label"":""条文"",""value"":""令127条""}]"
令128条,避難階段や出口から道や広場に出る道路の幅員の規定。,法規（廊下、屋外への出口、屋上広場）,,,"[{""label"":""条文"",""value"":""令128条""}]"
令132条,2以上の前面道路がある場合の道路斜線制限の規定。,法規（高さ制限）,,,"[{""label"":""条文"",""value"":""令132条""}]"
令138条,,法規（確認ほか手続き）,,,"[{""label"":""条文"",""value"":""令138条""}]"
令145条,道路内に建築してよい建築物等の規定。,法規（道路）,,,"[{""label"":""条文"",""value"":""令145条""}]"
令146条,,法規（確認ほか手続き）,,,"[{""label"":""条文"",""value"":""令146条""}]"
令108条の2,不燃材料の技術的基準。,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""令108条の2""}]"
令108条の2,不燃性能及びその技術的基準。,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""令108条の2""}]"
令109条の2,遮炎性能の技術的基準,法規（耐火建築物、防火地域、耐火構造、防火設備）,,,"[{""label"":""条文"",""value"":""令109条の2""}]"
令116条の2,法35条（避難施設、消火設備等の規定）の窓その他の開口部を有しない居室等の規定。,法規（無窓）,,,"[{""label"":""条文"",""value"":""令116条の2""}]"
令126条の2 1項二号,学校等の定義。,法規（排煙設備、非常用照明装置）,,,"[{""label"":""条文"",""value"":""令126条の2 1項二号""}]"
令126条の2 1項,防煙壁の定義,法規（用語の定義）,,,"[{""label"":""条文"",""value"":""令126条の2 1項""}]"
令126条の2 1項,排煙設備を設けなければならない建築物を規定。,法規（排煙設備、非常用照明装置）,,,"[{""label"":""条文"",""value"":""令126条の2 1項""}]"
令126条の2 1項,排煙設備の設置義務の規定と設置する必要がある建築物の規定。,法規（排煙設備、非常用照明装置）,,,"[{""label"":""条文"",""value"":""令126条の2 1項""}]"
令126条の2 2項,排煙設備を設ける上で、別の建築物としてみなす構造の規定。,法規（排煙設備、非常用照明装置）,,,"[{""label"":""条文"",""value"":""令126条の2 2項""}]"
令126条の3 1項,排煙設備の構造の規定。,法規（排煙設備、非常用照明装置）,,,"[{""label"":""条文"",""value"":""令126条の3 1項""}]"
令126条の4 1項,非常用の照明装置を設けなければならない建築物を規定。,法規（排煙設備、非常用照明装置）,,,"[{""label"":""条文"",""value"":""令126条の4 1項""}]"
令126条の5,非常用の照明設備の構造の規定。,法規（排煙設備、非常用照明装置）,,,"[{""label"":""条文"",""value"":""令126条の5""}]"
令128条の3 1項六号,地下街の非常設備、排煙設備、排水設備の規定。,法規（排煙設備、非常用照明装置）,,,"[{""label"":""条文"",""value"":""令128条の3 1項六号""}]"
令128条の3の2,法35条の2の政令で定める窓その他の開口部を有しない居室を規定。,法規（内装制限）,,,"[{""label"":""条文"",""value"":""令128条の3の2""}]"
令128条の3の2,法35条の2（内装制限の規定）の窓その他の開口部を有しない居室等の規定。,法規（無窓）,,,"[{""label"":""条文"",""value"":""令128条の3の2""}]"
令128条の4 1項,法35条の2の政令で定める別表第1(い)欄に掲げる用途に供する特殊建築物を規定。ここに挙げられているものは内装制限を受ける。,法規（内装制限）,,,"[{""label"":""条文"",""value"":""令128条の4 1項""}]"
令128条の4 2項,法35条の2の政令で定める階数が3以上である建物を規定。,法規（内装制限）,,,"[{""label"":""条文"",""value"":""令128条の4 2項""}]"
令128条の4 3項,"法35条の2の政令で定める延べ面積が1,000㎡を超える建築物を規定。",法規（内装制限）,,,"[{""label"":""条文"",""value"":""令128条の4 3項""}]"
令128条の4 4項,法35条の2の政令で定める火気使用室を規定。末尾の「以外のものとする。」より手前に挙げられている条件に該当する建築物が規定を受ける。,法規（内装制限）,,,"[{""label"":""条文"",""value"":""令128条の4 4項""}]"
令128条の5 1項,令128条の4 1項一号の建物の内装制限。,法規（内装制限）,,,"[{""label"":""条文"",""value"":""令128条の5 1項""}]"
令128条の5 2項,令128条の4 1項二号の建物の内装制限。,法規（内装制限）,,,"[{""label"":""条文"",""value"":""令128条の5 2項""}]"
令128条の5 3項,令128条の4 1項三号の建物の内装制限。,法規（内装制限）,,,"[{""label"":""条文"",""value"":""令128条の5 3項""}]"
令128条の5 4項,大規模な建築物の内装制限。,法規（内装制限）,,,"[{""label"":""条文"",""value"":""令128条の5 4項""}]"
令128条の5 5項,無窓居室の内装制限。,法規（内装制限）,,,"[{""label"":""条文"",""value"":""令128条の5 5項""}]"
令128条の5 5項,令128条の3の2に該当する居室の内装制限の規定。,法規（無窓）,,,"[{""label"":""条文"",""value"":""令128条の5 5項""}]"
令128条の5 6項,火気使用室の内装制限。,法規（内装制限）,,,"[{""label"":""条文"",""value"":""令128条の5 6項""}]"
令128条の5 7項,1～6項の内装制限が不要の条件。,法規（内装制限）,,,"[{""label"":""条文"",""value"":""令128条の5 7項""}]"
令129条の10 1項,エレベーターの制御装置の設置義務の規定。,法規（避雷針、便所、その他設備）,,,"[{""label"":""条文"",""value"":""令129条の10 1項""}]"
